Trade_ID,Ticker,Company,Sector,Buy_Date,Buy_Price,Sell_Date,Sell_Price,Qty,Invested,Sell_Value,PnL,Return_Pct,Result
1,RELIANCE.NS,Reliance Industries,Energy,2022-01-03,2349.6,2022-04-01,2638.56,25,58740.03,65963.94,7223.91,12.3,Profit
2,RELIANCE.NS,Reliance Industries,Energy,2022-05-02,2744.02,2022-06-15,2579.4,20,54880.33,51587.91,-3292.42,-6.0,Loss
3,RELIANCE.NS,Reliance Industries,Energy,2022-07-01,2558.13,2022-08-16,2634.04,30,76744.03,79021.11,2277.07,2.97,Profit
4,RELIANCE.NS,Reliance Industries,Energy,2023-07-17,2737.33,2023-10-31,2287.9,15,41059.96,34318.5,-6741.46,-16.42,Loss
5,HDFCBANK.NS,HDFC Bank,Finance,2022-01-03,1451.29,2022-02-28,1393.87,30,43538.67,41816.18,-1722.49,-3.96,Loss
6,HDFCBANK.NS,HDFC Bank,Finance,2022-06-15,1286.89,2022-08-16,1485.12,25,32172.3,37127.97,4955.67,15.4,Profit
7,HDFCBANK.NS,HDFC Bank,Finance,2023-03-15,1560.11,2023-07-03,1719.8,20,31202.18,34396.0,3193.82,10.24,Profit
8,INFY.NS,Infosys,IT,2022-01-17,1823.87,2022-02-14,1582.69,40,72954.82,63307.41,-9647.4,-13.22,Loss
9,INFY.NS,Infosys,IT,2022-04-01,1775.23,2022-05-16,1401.01,30,53256.86,42030.26,-11226.6,-21.08,Loss
10,INFY.NS,Infosys,IT,2022-10-03,1342.54,2022-12-01,1592.8,20,26850.78,31856.01,5005.23,18.64,Profit
11,INFY.NS,Infosys,IT,2023-02-15,1522.54,2023-04-17,1209.47,25,38063.42,30236.87,-7826.55,-20.56,Loss
12,ITC.NS,ITC Limited,FMCG,2022-01-03,203.75,2022-05-02,251.58,200,40750.43,50315.38,9564.94,23.47,Profit
13,ITC.NS,ITC Limited,FMCG,2022-04-18,256.21,2022-05-16,242.92,150,38432.04,36438.73,-1993.3,-5.19,Loss
14,ITC.NS,ITC Limited,FMCG,2023-02-01,345.39,2023-06-15,448.1,100,34539.14,44810.0,10270.87,29.74,Profit
15,MARUTI.NS,Maruti Suzuki,Auto,2022-01-03,7302.74,2022-01-17,8134.88,10,73027.44,81348.83,8321.39,11.39,Profit
16,MARUTI.NS,Maruti Suzuki,Auto,2022-02-01,8555.63,2022-03-14,7201.13,5,42778.14,36005.63,-6772.51,-15.83,Loss
17,MARUTI.NS,Maruti Suzuki,Auto,2023-03-15,8569.36,2023-10-16,10704.5,5,42846.79,53522.5,10675.71,24.92,Profit
18,SUNPHARMA.NS,Sun Pharma,Pharma,2022-03-02,832.37,2022-04-18,914.34,50,41618.56,45717.08,4098.52,9.85,Profit
19,SUNPHARMA.NS,Sun Pharma,Pharma,2022-05-02,909.36,2022-06-15,810.63,60,54561.79,48638.04,-5923.75,-10.86,Loss
20,SUNPHARMA.NS,Sun Pharma,Pharma,2023-03-15,948.64,2023-08-01,1143.45,40,37945.79,45738.0,7792.21,20.54,Profit
21,TATASTEEL.NS,Tata Steel,Metal,2022-01-03,102.45,2022-04-01,121.02,250,25611.95,30254.26,4642.31,18.13,Profit
22,TATASTEEL.NS,Tata Steel,Metal,2022-04-18,122.38,2022-07-01,84.53,300,36713.07,25357.86,-11355.2,-30.93,Loss
23,TATASTEEL.NS,Tata Steel,Metal,2022-08-16,110.11,2022-10-03,95.24,150,16515.95,14286.22,-2229.72,-13.5,Loss
24,TATASTEEL.NS,Tata Steel,Metal,2023-05-15,103.67,2023-09-15,131.95,200,20733.3,26390.0,5656.7,27.28,Profit
25,ZOMATO.NS,Zomato Limited,Food Tech,2022-01-03,139.7,2022-02-28,79.95,200,27940.0,15990.0,-11950.0,-42.77,Loss
26,ZOMATO.NS,Zomato Limited,Food Tech,2022-05-16,56.85,2022-06-01,74.7,250,14212.5,18675.0,4462.5,31.4,Profit
27,ZOMATO.NS,Zomato Limited,Food Tech,2022-11-14,74.3,2023-01-02,60.3,150,11145.0,9045.0,-2100.0,-18.84,Loss
28,ZOMATO.NS,Zomato Limited,Food Tech,2023-01-16,54.0,2023-10-16,111.5,250,13500.0,27875.0,14375.0,106.48,Profit
